feature,mean_abs_shap
ev_nvlink_fault_warn,0.1914518162594295
gpu_sm_util__mean,0.10497531200781123
ev_nvlink_fault_critical,0.08415195165879026
gpu_power_w__max,0.08261080577430796
gpu_sm_util__vol_max,0.07945040061939238
gpu_temp_c__max,0.07302784991508911
gpu_temp_c__range,0.0713411594954817
gpu_temp_c__min,0.07089165601035251
ev_ecc_uncorrectable_info,0.06789612671463056
gpu_sm_util__range,0.06770975808286307
ev_nvlink_fault_info,0.057918733232668905
gpu_power_w__min,0.05685529571457887
gpu_power_w__vol_max,0.055638273781841795
gpu_power_w__range,0.05492385715490788
nvlink_crc_rate__vol_max,0.05057084233421576
gpu_temp_c__spike_count,0.04713509739684938
ev_thermal_throttle_info,0.03837076112173737
gpu_sm_util__min,0.03690051990970173
gpu_temp_c__ac1,0.03497927368777696
ev_thermal_throttle_warn,0.03493680758890075
nvlink_crc_rate__max,0.029020372293023934
gpu_temp_c__vol_max,0.02765670011284098
gpu_power_w__std,0.026175804805044636
gpu_sm_util__max,0.02449796374880316
pcie_aer_rate__vol_max,0.021820439681030243
nvlink_crc_rate__std,0.02174671723321427
gpu_temp_c__mean,0.021025670489255344
gpu_power_w__spike_count,0.020992684912122632
gpu_power_w__ac1,0.020563182949059747
gpu_sm_util__std,0.02002291661712497
nvlink_crc_rate__ac1,0.01994534223938074
gpu_temp_c__slope,0.019767455079708705
nvlink_crc_rate__slope,0.01800121275715427
gpu_sm_util__ac1,0.017904780230264053
ecc_corrected_rate__std,0.016723496523777904
ecc_corrected_rate__slope,0.016166638486155266
ecc_corrected_rate__vol_max,0.01615665994891666
gpu_power_w__slope,0.01567054373944081
gpu_temp_c__std,0.015168809034084692
pcie_aer_rate__spike_count,0.014960228265271618
pcie_aer_rate__slope,0.014881012994616152
nvlink_crc_rate__spike_count,0.014682630670688784
pcie_aer_rate__std,0.013708983541899132
ev_pcie_error_info,0.013672038698975392
ecc_corrected_rate__ac1,0.012676695028193179
nvlink_crc_rate__mean,0.01193211864347917
gpu_sm_util__slope,0.01153152868859184
ev_pcie_error_warn,0.010321594953626802
ecc_corrected_rate__spike_count,0.010111814515578651
gpu_sm_util__spike_count,0.009381247402216023
gpu_power_w__mean,0.007521467866084544
pcie_aer_rate__mean,0.0057060944771811905
gpu_power_w__last,0.005357837391313484
gpu_temp_c__last,0.005327345766562066
pcie_aer_rate__ac1,0.005064039717054167
gpu_sm_util__last,0.003214666801098602
ecc_corrected_rate__mean,0.003085671086061034
ecc_corrected_rate__max,0.002752769381045994
ev_ecc_uncorrectable_critical,0.0021536158717352866
nvlink_crc_rate__last,0.0013890505378866258
ev_pcie_error_critical,0.0008257098287219251
pcie_aer_rate__max,0.0007104240757377496
nvlink_crc_rate__range,0.0
pcie_aer_rate__last,0.0
ev_ecc_uncorrectable_warn,0.0
ecc_corrected_rate__min,0.0
nvlink_crc_rate__min,0.0
ecc_corrected_rate__range,0.0
pcie_aer_rate__range,0.0
pcie_aer_rate__min,0.0
ecc_corrected_rate__last,0.0
ev_thermal_throttle_critical,0.0
